Date,Open,High,Low,Close,Adj Close,Volume,Normalized_Close
2022-08-30,108.970001,110.080002,107.129997,107.860001,106.56633,5129500,0.5334195687852241
2022-08-31,107.959999,108.010002,105.809998,106.449997,105.173225,8884800,0.5030184456458673
2022-09-01,105.800003,106.550003,103.800003,106.489998,105.212753,5590800,0.5038809079698732
2022-09-02,107.459999,108.150002,105.050003,105.739998,104.771828,7763800,0.4877101436638731
2022-09-06,105.440002,106.410004,103.68,105.150002,104.187233,9158900,0.4749892286538957
2022-09-07,105.080002,108.559998,105.0,108.480003,107.48674,7238300,0.5467874437335558
2022-09-08,107.0,108.790001,106.080002,108.730003,107.734459,5628300,0.5521776985022226
2022-09-09,109.379997,111.690002,109.300003,110.970001,109.953941,5171500,0.6004743381074387
2022-09-12,111.379997,113.360001,111.379997,112.379997,111.351036,4836900,0.6308752887586433
2022-09-13,108.839996,108.910004,105.440002,105.720001,104.752007,5955600,0.4872789879654369
2022-09-14,106.129997,107.360001,105.150002,107.0,106.020294,4888700,0.5148770708199915
2022-09-15,106.150002,108.139999,104.830002,105.5,104.534027,6598900,0.4825355422079909
2022-09-16,104.07,105.290001,103.25,104.120003,103.166664,8000800,0.4527814005680075
2022-09-19,103.690002,107.370003,103.330002,107.209999,106.228371,5162300,0.5194048632646524
2022-09-20,103.82,104.440002,101.709999,102.419998,101.482224,10006600,0.4161275603359784
2022-09-21,102.669998,103.629997,99.769997,99.790001,98.876305,6279300,0.3594221448526613
2022-09-22,99.790001,100.209999,97.830002,98.550003,97.647667,9638800,0.3326865243221126
2022-09-23,96.919998,97.540001,95.339996,97.019997,96.131668,9026500,0.2996980357717573
2022-09-26,96.089996,97.730003,95.709999,96.059998,95.180458,8521600,0.2789994790210959
2022-09-27,97.07,97.739998,95.0,96.290001,95.408356,9890300,0.2839585780913269
2022-09-28,97.110001,99.43,96.760002,98.699997,97.796288,9423300,0.335920547817198
2022-09-29,98.110001,98.110001,94.480003,95.330002,94.457146,19339200,0.2632600213406655
2022-09-30,83.300003,86.199997,82.5,83.120003,82.358948,48176100,0.0
2022-10-03,83.129997,86.470001,82.220001,85.400002,84.618065,19108200,0.0491591019292219
2022-10-04,87.699997,89.07,87.110001,88.639999,87.8284,15114800,0.1190167390480858
2022-10-05,87.489998,91.699997,87.150002,91.099998,90.265877,12732700,0.1720568244107476
2022-10-06,90.489998,92.639999,89.809998,90.169998,89.344383,9951900,0.1520050766713074
2022-10-07,88.540001,88.760002,86.690002,87.160004,86.361946,8554700,0.0871065386226739
2022-10-10,87.760002,87.779999,85.07,86.690002,85.896255,7991200,0.0769728165355423
2022-10-11,86.040001,88.25,85.75,87.989998,87.184349,11903200,0.1050020550885331
2022-10-12,88.0,88.879997,87.309998,88.510002,87.699593,8772900,0.1162138712514362
2022-10-13,86.389999,89.809998,86.050003,89.559998,88.739967,9335000,0.1388528550357601
2022-10-14,90.510002,90.879997,87.489998,87.550003,86.74839,7811700,0.095515314500775
2022-10-17,89.529999,90.690002,88.699997,89.970001,89.146225,8451900,0.1476929375394309
2022-10-18,92.599998,92.910004,89.150002,89.68,88.858879,7364700,0.1414402204467586
2022-10-19,88.260002,89.739998,87.760002,88.57,87.759041,5102000,0.1175074892738781
2022-10-20,89.470001,90.580002,86.610001,86.830002,86.034973,13500000,0.0799913592059955
2022-10-21,87.019997,88.779999,86.709999,88.5,87.689682,7976300,0.1159982179386514
2022-10-24,87.790001,88.839996,86.239998,88.010002,87.20417,8847100,0.1054333617141027
2022-10-25,88.029999,91.93,87.889999,91.720001,90.880203,8639900,0.1854247209200983
2022-10-26,90.779999,94.349998,90.699997,92.389999,91.54406,8648200,0.1998705605780872
2022-10-27,92.879997,93.480003,90.220001,90.540001,89.711006,8617900,0.1599827184119913
2022-10-28,91.199997,93.879997,90.459999,93.830002,92.970879,6022400,0.2309184927286649
2022-10-31,93.0,93.889999,92.68,92.68,91.831413,6426400,0.2061232776707597
2022-11-01,95.690002,96.459999,92.970001,93.769997,92.911423,7250700,0.2296247237790898
2022-11-02,93.129997,94.440002,90.190002,90.300003,89.473198,7176600,0.1548081169561095
2022-11-03,89.970001,91.610001,88.720001,90.400002,89.572289,6550300,0.156964197302557
2022-11-04,94.449997,98.230003,93.949997,95.790001,94.912933,12543300,0.2731780685539933
2022-11-07,96.309998,96.870003,92.669998,93.440002,92.584457,9094500,0.2225096952895451
2022-11-08,94.440002,96.029999,92.940002,93.75,92.891617,7017800,0.2291935680806536
2022-11-09,92.669998,93.900002,91.959999,92.099998,91.256721,6550900,0.1936178434854145
2022-11-10,96.330002,99.68,96.230003,99.489998,98.579056,9361000,0.352953774447204
2022-11-11,100.309998,107.209999,100.139999,106.089996,105.118622,12597500,0.4952564572179683
2022-11-14,105.199997,106.440002,104.32,104.389999,103.434189,7134900,0.4586027894740918
2022-11-15,107.989998,109.309998,105.529999,106.709999,105.732948,7242900,0.5086243537273192
2022-11-16,105.25,106.599998,104.769997,105.230003,104.266502,5998700,0.4767141317408883
2022-11-17,104.110001,105.400002,102.919998,105.360001,104.395309,5252900,0.4795170210985566
2022-11-18,107.629997,107.720001,104.169998,105.419998,104.454758,5498900,0.4808106175599795
2022-11-21,104.610001,105.480003,103.599998,103.830002,102.879318,4774800,0.4465286834753352
2022-11-22,104.620003,106.160004,103.839996,105.970001,104.999733,5313200,0.4926692427341037
2022-11-23,106.0,106.980003,105.230003,106.650002,105.6735,3873100,0.5073307572658963
2022-11-25,106.449997,107.18,105.559998,105.959999,104.989815,3426100,0.4924535894213186
2022-11-28,105.25,106.300003,104.650002,104.959999,103.99897,6967400,0.4708925703466518
2022-11-29,105.370003,106.82,105.120003,106.25,105.277161,8494400,0.4987063065139914
2022-11-30,107.080002,109.690002,105.449997,109.690002,108.685669,16251000,0.5728762552528841
2022-12-01,110.089996,111.860001,109.550003,111.110001,110.092659,7822900,0.6034928807778921
